step,hit,hits,misses,evictions,hit_rate,policy,workload
372,True,248,125,93,0.664879,FIFO,locality
373,False,248,126,94,0.663102,FIFO,locality
374,True,249,126,94,0.664,FIFO,locality
375,False,249,127,95,0.662234,FIFO,locality
376,False,249,128,96,0.660477,FIFO,locality
377,True,250,128,96,0.661376,FIFO,locality
378,True,251,128,96,0.662269,FIFO,locality
379,True,252,128,96,0.663158,FIFO,locality
380,True,253,128,96,0.664042,FIFO,locality
381,True,254,128,96,0.664921,FIFO,locality
382,True,255,128,96,0.665796,FIFO,locality
383,True,256,128,96,0.666667,FIFO,locality
384,True,257,128,96,0.667532,FIFO,locality
385,True,258,128,96,0.668394,FIFO,locality
386,False,258,129,97,0.666667,FIFO,locality
387,True,259,129,97,0.667526,FIFO,locality
388,True,260,129,97,0.66838,FIFO,locality
389,True,261,129,97,0.669231,FIFO,locality
390,False,261,130,98,0.667519,FIFO,locality
391,True,262,130,98,0.668367,FIFO,locality
392,True,263,130,98,0.669211,FIFO,locality
393,False,263,131,99,0.667513,FIFO,locality
394,False,263,132,100,0.665823,FIFO,locality
395,True,264,132,100,0.666667,FIFO,locality
396,True,265,132,100,0.667506,FIFO,locality
397,False,265,133,101,0.665829,FIFO,locality
398,True,266,133,101,0.666667,FIFO,locality
399,True,267,133,101,0.6675,FIFO,locality
400,True,268,133,101,0.668329,FIFO,locality
401,False,268,134,102,0.666667,FIFO,locality
402,True,269,134,102,0.667494,FIFO,locality
403,True,270,134,102,0.668317,FIFO,locality
404,True,271,134,102,0.669136,FIFO,locality
405,True,272,134,102,0.669951,FIFO,locality
406,True,273,134,102,0.670762,FIFO,locality
407,True,274,134,102,0.671569,FIFO,locality
408,False,274,135,103,0.669927,FIFO,locality
409,True,275,135,103,0.670732,FIFO,locality
410,False,275,136,104,0.6691,FIFO,locality
411,True,276,136,104,0.669903,FIFO,locality
412,True,277,136,104,0.670702,FIFO,locality
413,False,277,137,105,0.669082,FIFO,locality
414,True,278,137,105,0.66988,FIFO,locality
415,False,278,138,106,0.668269,FIFO,locality
416,True,279,138,106,0.669065,FIFO,locality
417,True,280,138,106,0.669856,FIFO,locality
418,True,281,138,106,0.670644,FIFO,locality
419,True,282,138,106,0.671429,FIFO,locality
420,False,282,139,107,0.669834,FIFO,locality
421,True,283,139,107,0.670616,FIFO,locality
422,False,283,140,108,0.669031,FIFO,locality
423,False,283,141,109,0.667453,FIFO,locality
424,True,284,141,109,0.668235,FIFO,locality
425,True,285,141,109,0.669014,FIFO,locality
426,True,286,141,109,0.669789,FIFO,locality
427,False,286,142,110,0.668224,FIFO,locality
428,True,287,142,110,0.668998,FIFO,locality
429,True,288,142,110,0.669767,FIFO,locality
430,False,288,143,111,0.668213,FIFO,locality
431,True,289,143,111,0.668981,FIFO,locality
432,True,290,143,111,0.669746,FIFO,locality
433,True,291,143,111,0.670507,FIFO,locality
434,True,292,143,111,0.671264,FIFO,locality
435,True,293,143,111,0.672018,FIFO,locality
436,True,294,143,111,0.672769,FIFO,locality
437,False,294,144,112,0.671233,FIFO,locality
438,True,295,144,112,0.671982,FIFO,locality
439,False,295,145,113,0.670455,FIFO,locality
440,True,296,145,113,0.671202,FIFO,locality
441,False,296,146,114,0.669683,FIFO,locality
442,True,297,146,114,0.670429,FIFO,locality
443,False,297,147,115,0.668919,FIFO,locality
444,True,298,147,115,0.669663,FIFO,locality
445,True,299,147,115,0.670404,FIFO,locality
446,True,300,147,115,0.671141,FIFO,locality
447,True,301,147,115,0.671875,FIFO,locality
448,False,301,148,116,0.670379,FIFO,locality
449,False,301,149,117,0.668889,FIFO,locality
450,False,301,150,118,0.667406,FIFO,locality
451,True,302,150,118,0.668142,FIFO,locality
452,False,302,151,119,0.666667,FIFO,locality
453,True,303,151,119,0.667401,FIFO,locality
454,False,303,152,120,0.665934,FIFO,locality
455,False,303,153,121,0.664474,FIFO,locality
456,False,303,154,122,0.66302,FIFO,locality
457,True,304,154,122,0.663755,FIFO,locality
458,True,305,154,122,0.664488,FIFO,locality
459,False,305,155,123,0.663043,FIFO,locality
460,True,306,155,123,0.663774,FIFO,locality
461,True,307,155,123,0.664502,FIFO,locality
462,True,308,155,123,0.665227,FIFO,locality
463,True,309,155,123,0.665948,FIFO,locality
464,True,310,155,123,0.666667,FIFO,locality
465,True,311,155,123,0.667382,FIFO,locality
466,True,312,155,123,0.668094,FIFO,locality
467,True,313,155,123,0.668803,FIFO,locality
468,True,314,155,123,0.66951,FIFO,locality
469,False,314,156,124,0.668085,FIFO,locality
470,False,314,157,125,0.666667,FIFO,locality
471,True,315,157,125,0.667373,FIFO,locality
472,True,316,157,125,0.668076,FIFO,locality
473,False,316,158,126,0.666667,FIFO,locality
474,True,317,158,126,0.667368,FIFO,locality
475,True,318,158,126,0.668067,FIFO,locality
476,False,318,159,127,0.666667,FIFO,locality
477,False,318,160,128,0.665272,FIFO,locality
478,True,319,160,128,0.665971,FIFO,locality
479,True,320,160,128,0.666667,FIFO,locality
480,False,320,161,129,0.665281,FIFO,locality
481,True,321,161,129,0.665975,FIFO,locality
482,True,322,161,129,0.666667,FIFO,locality
483,True,323,161,129,0.667355,FIFO,locality
484,True,324,161,129,0.668041,FIFO,locality
485,True,325,161,129,0.668724,FIFO,locality
486,True,326,161,129,0.669405,FIFO,locality
487,True,327,161,129,0.670082,FIFO,locality
488,True,328,161,129,0.670757,FIFO,locality
489,True,329,161,129,0.671429,FIFO,locality
490,False,329,162,130,0.670061,FIFO,locality
491,True,330,162,130,0.670732,FIFO,locality
492,False,330,163,131,0.669371,FIFO,locality
493,False,330,164,132,0.668016,FIFO,locality
494,False,330,165,133,0.666667,FIFO,locality
495,True,331,165,133,0.667339,FIFO,locality
496,False,331,166,134,0.665996,FIFO,locality
497,False,331,167,135,0.664659,FIFO,locality
498,True,332,167,135,0.665331,FIFO,locality
499,False,332,168,136,0.664,FIFO,locality
500,False,332,169,137,0.662675,FIFO,locality
501,True,333,169,137,0.663347,FIFO,locality
502,False,333,170,138,0.662028,FIFO,locality
503,True,334,170,138,0.662698,FIFO,locality
504,False,334,171,139,0.661386,FIFO,locality
505,True,335,171,139,0.662055,FIFO,locality
506,False,335,172,140,0.66075,FIFO,locality
507,False,335,173,141,0.659449,FIFO,locality
508,False,335,174,142,0.658153,FIFO,locality
509,True,336,174,142,0.658824,FIFO,locality
510,False,336,175,143,0.657534,FIFO,locality
511,False,336,176,144,0.65625,FIFO,locality
512,True,337,176,144,0.65692,FIFO,locality
513,False,337,177,145,0.655642,FIFO,locality
514,True,338,177,145,0.656311,FIFO,locality
515,True,339,177,145,0.656977,FIFO,locality
516,False,339,178,146,0.655706,FIFO,locality
517,False,339,179,147,0.65444,FIFO,locality
518,False,339,180,148,0.653179,FIFO,locality
519,True,340,180,148,0.653846,FIFO,locality
520,False,340,181,149,0.652591,FIFO,locality
521,False,340,182,150,0.651341,FIFO,locality
522,False,340,183,151,0.650096,FIFO,locality
523,True,341,183,151,0.650763,FIFO,locality
524,False,341,184,152,0.649524,FIFO,locality
525,True,342,184,152,0.65019,FIFO,locality
526,True,343,184,152,0.650854,FIFO,locality
527,False,343,185,153,0.649621,FIFO,locality
528,False,343,186,154,0.648393,FIFO,locality
529,False,343,187,155,0.64717,FIFO,locality
530,False,343,188,156,0.645951,FIFO,locality
531,True,344,188,156,0.646617,FIFO,locality
532,False,344,189,157,0.645403,FIFO,locality
533,True,345,189,157,0.646067,FIFO,locality
534,True,346,189,157,0.646729,FIFO,locality
535,True,347,189,157,0.647388,FIFO,locality
536,True,348,189,157,0.648045,FIFO,locality
537,False,348,190,158,0.64684,FIFO,locality
538,True,349,190,158,0.647495,FIFO,locality
539,True,350,190,158,0.648148,FIFO,locality
540,True,351,190,158,0.648799,FIFO,locality
541,True,352,190,158,0.649446,FIFO,locality
